Rank,Distance,Name,Nationality,Birth,Unknown,City,Date
1,86.74,Yuriy Syedikh,RUS,11.06.55,1,Stuttgart,30.08.1986
2,86.66,Yuriy Syedikh,RUS,11.06.55,1,Tallinn,22.06.1986
3,86.34,Yuriy Syedikh,RUS,11.06.55,1,Cork,03.07.1984
4,86.04,Sergey Litvinov,RUS,23.01.58,1,Dresden,03.07.1986
5,85.74,Sergey Litvinov,RUS,23.01.58,2,Stuttgart,30.08.1986
6,85.68,Yuriy Syedikh,RUS,11.06.55,1,Budapest,11.08.1986
7,85.60,Yuriy Syedikh,RUS,11.06.55,1,London,13.07.1984
7,85.60,Yuriy Syedikh,RUS,11.06.55,1,Moskva,17.08.1984
9,85.20,Sergey Litvinov,RUS,23.01.58,2,Cork,03.07.1984
10,85.14,Sergey Litvinov,RUS,23.01.58,1,London,11.07.1986
10,85.14,Yuriy Syedikh,RUS,11.06.55,1,Moskva,04.09.1988
12,85.02,Yuriy Syedikh,RUS,11.06.55,1,Budapest,20.08.1984
13,84.92,Yuriy Syedikh,RUS,11.06.55,2,Dresden,03.07.1986
14,84.90,Vadim Devyatovskiy,BLR,20.03.77,1,Stayki,21.07.2005
15,84.88,Sergey Litvinov,RUS,23.01.58,1,Roma,10.09.1986
16,84.86,Koji Murofushi,JPN,08.10.74,1,Praha,29.06.2003
17,84.80,Sergey Litvinov,RUS,23.01.58,1,Seoul,26.09.1988
18,84.72,Yuriy Syedikh,RUS,11.06.55,1,Moskva,09.07.1986
19,84.64,Sergey Litvinov,RUS,23.01.58,2,Moskva,09.07.1986
20,84.62,Igor Astapkovich,BLR,04.01.63,1,Sevilla,06.06.1992
21,84.60,Yuriy Syedikh,RUS,11.06.55,1,Tokyo,14.09.1984
22,84.58,Yuriy Syedikh,RUS,11.06.55,1,Leningrad,08.06.1986
23,84.51,Ivan Tikhon,BLR,24.07.76,1,Grodno,09.07.2008
24,84.48,Igor Nikulin,RUS,14.08.60,1,Lausanne,12.07.1990
25,84.46,Yuriy Syedikh,RUS,11.06.55,1,Vladivostok,14.09.1988
25,84.46,Ivan Tikhon,BLR,24.07.76,1,Minsk,07.05.2004
27,84.40,Jüri Tamm,EST,05.02.57,1,Banská Bystrica,09.09.1984
28,84.36,Sergey Litvinov,RUS,23.01.58,2,Tallinn,22.06.1986
29,84.32,Ivan Tikhon,BLR,24.07.76,1,Stayki,08.08.2003
30,84.26,Yuriy Syedikh,RUS,11.06.55,1,Nice,15.07.1986
30,84.26,Igor Astapkovich,BLR,04.01.63,1,Reims,03.07.1991
32,84.19,Adrián Annus,HUN,28.06.73,1,Szombathely,10.08.2003
33,84.16,Jüri Tamm,EST,05.02.57,1,Kharkov,19.06.1988
34,84.14,Sergey Litvinov,RUS,23.01.58,1,Moskva,21.06.1983
34,84.14,Yuriy Syedikh,RUS,11.06.55,1,Helsinki,07.07.1986
34,84.14,Igor Astapkovich,BLR,04.01.63,1,Split,31.08.1990
37,84.12,Igor Astapkovich,BLR,04.01.63,1,Seattle,26.07.1990
38,84.08,Jüri Tamm,EST,05.02.57,1,Budapest,04.08.1985
