DATE,hourly_rainfall
1949-12-01 01:00:00,0.0
1949-12-02 14:00:00,1.27
1949-12-02 15:00:00,1.02
1949-12-02 16:00:00,0.25
1949-12-02 17:00:00,0.51
1949-12-03 02:00:00,0.25
1949-12-03 03:00:00,0.25
1949-12-04 21:00:00,0.51
1949-12-04 22:00:00,0.51
1949-12-04 23:00:00,0.76
1949-12-05 00:00:00,0.51
1949-12-05 02:00:00,0.25
1949-12-05 04:00:00,0.25
1949-12-05 05:00:00,0.25
1949-12-07 05:00:00,0.25
1949-12-07 06:00:00,2.03
1949-12-07 07:00:00,1.78
1949-12-07 08:00:00,0.51
1949-12-11 01:00:00,0.51
1949-12-11 03:00:00,0.51
1949-12-11 04:00:00,0.51
1949-12-11 06:00:00,0.25
1949-12-11 07:00:00,0.25
1949-12-12 02:00:00,0.25
1949-12-12 03:00:00,0.25
1949-12-12 04:00:00,0.51
1949-12-12 05:00:00,2.79
1949-12-12 06:00:00,1.52
1949-12-12 07:00:00,0.25
1949-12-12 19:00:00,0.51
1949-12-12 20:00:00,0.51
1949-12-12 21:00:00,0.25
1949-12-12 22:00:00,1.78
1949-12-12 23:00:00,1.52
1949-12-13 00:00:00,1.02
1949-12-13 01:00:00,0.76
1949-12-13 02:00:00,0.25
1949-12-13 04:00:00,0.25
1949-12-13 05:00:00,0.51
1949-12-13 06:00:00,0.51
1949-12-13 09:00:00,0.51
1949-12-18 22:00:00,0.51
1949-12-18 23:00:00,1.02
1949-12-19 00:00:00,1.78
1949-12-19 01:00:00,1.27
1949-12-19 02:00:00,0.51
1949-12-19 03:00:00,0.25
1949-12-19 04:00:00,0.25
1949-12-19 05:00:00,0.25
1949-12-19 06:00:00,0.25
1949-12-19 07:00:00,0.25
1949-12-19 08:00:00,0.76
1949-12-19 09:00:00,0.51
1949-12-19 10:00:00,0.25
1949-12-19 11:00:00,0.25
1949-12-23 14:00:00,0.51
1949-12-23 15:00:00,0.25
1949-12-23 16:00:00,0.25
1949-12-23 17:00:00,1.02
1949-12-23 18:00:00,0.51
1949-12-26 23:00:00,1.78
1949-12-27 00:00:00,4.06
1949-12-27 01:00:00,3.05
1949-12-27 02:00:00,2.03
1949-12-27 03:00:00,6.35
1949-12-27 04:00:00,0.51
1949-12-27 05:00:00,2.29
1949-12-27 06:00:00,0.51
1949-12-27 22:00:00,1.02
1949-12-28 00:00:00,1.02
1950-01-01 01:00:00,0.0
1950-01-03 03:00:00,0.25
1950-01-03 04:00:00,0.51
1950-01-03 05:00:00,0.51
1950-01-03 06:00:00,0.25
1950-01-03 07:00:00,1.27
1950-01-07 01:00:00,0.51
1950-01-07 02:00:00,1.52
1950-01-07 03:00:00,1.02
1950-01-07 04:00:00,0.25
1950-01-10 08:00:00,0.25
1950-01-10 09:00:00,0.25
1950-01-10 10:00:00,0.51
1950-01-10 11:00:00,5.08
1950-01-10 12:00:00,0.51
1950-01-10 13:00:00,1.02
1950-01-10 14:00:00,1.02
1950-01-10 15:00:00,3.3
1950-01-10 16:00:00,0.76
1950-01-14 08:00:00,5.08
1950-01-15 15:00:00,0.76
1950-01-18 02:00:00,0.51
1950-01-18 03:00:00,1.02
1950-01-18 04:00:00,3.56
1950-01-18 05:00:00,2.54
1950-01-18 06:00:00,1.27
1950-01-18 07:00:00,0.25
1950-01-24 09:00:00,0.76
1950-01-24 10:00:00,2.54
1950-01-24 11:00:00,2.79
1950-01-24 12:00:00,0.25
1950-01-27 06:00:00,1.52
1950-01-27 07:00:00,1.52
1950-01-27 08:00:00,0.76
1950-01-28 23:00:00,0.76
1950-01-29 00:00:00,1.27
1950-01-29 01:00:00,0.51
1950-01-29 03:00:00,0.25
1950-01-29 04:00:00,0.25
1950-01-29 05:00:00,0.51
1950-01-29 06:00:00,0.25
1950-01-29 07:00:00,0.25
1950-01-29 23:00:00,0.25
1950-01-30 00:00:00,0.25
1950-01-30 01:00:00,0.25
1950-01-30 02:00:00,0.76
1950-01-30 03:00:00,0.25
1950-01-30 05:00:00,0.51
1950-01-30 06:00:00,0.25
1950-01-30 07:00:00,0.51
1950-01-31 03:00:00,0.51
1950-01-31 04:00:00,1.02
1950-01-31 05:00:00,1.52
1950-01-31 06:00:00,0.51
1950-01-31 07:00:00,2.54
1950-01-31 08:00:00,0.76
1950-01-31 09:00:00,2.29
1950-01-31 10:00:00,1.02
1950-02-01 01:00:00,0.25
1950-02-01 02:00:00,1.27
1950-02-01 03:00:00,1.27
1950-02-01 04:00:00,1.02
1950-02-01 05:00:00,0.51
1950-02-01 06:00:00,0.51
1950-02-01 07:00:00,0.25
1950-02-01 08:00:00,0.51
1950-02-01 14:00:00,0.25
1950-02-01 15:00:00,0.51
1950-02-01 18:00:00,0.25
1950-02-02 00:00:00,0.25
1950-02-02 01:00:00,1.78
1950-02-02 02:00:00,0.51
1950-02-02 03:00:00,1.52
1950-02-02 04:00:00,1.78
1950-02-02 05:00:00,2.03
1950-02-02 06:00:00,1.27
1950-02-02 07:00:00,0.51
1950-02-02 08:00:00,1.02
1950-02-02 09:00:00,0.51
1950-02-02 10:00:00,0.76
1950-02-02 14:00:00,0.25
1950-02-02 15:00:00,1.02
1950-02-06 13:00:00,0.51
1950-02-06 14:00:00,2.29
1950-02-06 15:00:00,0.51
1950-02-08 09:00:00,1.27
1950-02-09 05:00:00,0.25
1950-02-09 06:00:00,1.78
1950-02-09 07:00:00,1.78
1950-02-09 08:00:00,0.76
1950-02-09 09:00:00,0.25
1950-02-09 10:00:00,0.25
1950-02-09 11:00:00,0.51
1950-02-09 12:00:00,0.76
1950-02-09 13:00:00,0.25
1950-02-09 14:00:00,0.51
1950-02-09 17:00:00,0.25
1950-02-09 18:00:00,1.02
1950-02-10 02:00:00,0.25
1950-02-10 04:00:00,0.51
1950-02-13 05:00:00,0.25
1950-02-13 06:00:00,0.25
1950-02-13 08:00:00,1.78
1950-02-13 10:00:00,0.25
1950-02-13 11:00:00,0.51
1950-02-13 12:00:00,0.76
1950-02-14 06:00:00,0.25
1950-02-14 07:00:00,0.76
1950-02-14 10:00:00,0.76
1950-02-14 11:00:00,1.27
1950-02-14 12:00:00,1.27
1950-02-14 13:00:00,2.29
1950-02-14 14:00:00,1.52
1950-02-14 15:00:00,1.27
1950-02-14 16:00:00,0.51
1950-02-14 17:00:00,2.03
1950-02-14 18:00:00,1.52
1950-02-14 19:00:00,2.79
1950-02-14 20:00:00,0.25
1950-02-14 21:00:00,0.25
1950-02-14 22:00:00,0.25
1950-02-14 23:00:00,1.02
1950-02-15 00:00:00,1.02
1950-02-15 01:00:00,0.51
1950-02-15 02:00:00,1.02
1950-02-15 03:00:00,0.25
1950-02-15 04:00:00,2.03
1950-02-15 05:00:00,0.25
1950-02-15 06:00:00,0.51
1950-02-15 07:00:00,1.78
1950-02-15 08:00:00,2.29
1950-02-15 09:00:00,1.52
1950-02-15 10:00:00,0.76
1950-02-15 11:00:00,0.51
1950-02-15 12:00:00,0.25
1950-02-15 13:00:00,0.25
1950-02-15 14:00:00,0.76
1950-02-15 15:00:00,0.25
1950-02-15 16:00:00,0.25
1950-02-15 17:00:00,0.25
1950-02-18 18:00:00,0.25
1950-02-18 19:00:00,0.25
1950-02-19 23:00:00,0.25
1950-02-20 00:00:00,0.25
1950-02-20 01:00:00,0.25
1950-02-20 02:00:00,0.51
1950-02-20 03:00:00,0.25
1950-02-20 04:00:00,0.25
1950-02-20 06:00:00,0.25
1950-02-20 12:00:00,0.25
1950-02-20 13:00:00,0.51
1950-02-21 23:00:00,0.76
1950-02-22 00:00:00,1.52
1950-02-22 01:00:00,0.51
1950-02-22 03:00:00,1.02
1950-02-22 04:00:00,0.25
1950-02-22 06:00:00,0.25
1950-02-22 07:00:00,0.51
1950-03-01 01:00:00,0.0
1950-03-01 05:00:00,0.25
1950-03-01 06:00:00,0.25
1950-03-01 07:00:00,0.25
1950-03-01 08:00:00,0.51
1950-03-01 11:00:00,0.51
1950-03-08 03:00:00,0.25
1950-03-08 04:00:00,0.25
1950-03-08 05:00:00,0.25
1950-03-08 06:00:00,0.25
1950-03-08 07:00:00,0.51
1950-03-08 08:00:00,0.25
1950-03-08 10:00:00,0.25
1950-03-08 11:00:00,0.25
1950-03-08 12:00:00,0.51
1950-03-08 13:00:00,0.25
1950-03-08 20:00:00,1.52
1950-03-08 21:00:00,1.27
1950-03-08 22:00:00,0.25
1950-03-08 23:00:00,0.25
1950-03-09 00:00:00,0.76
1950-03-17 23:00:00,0.51
1950-03-18 00:00:00,0.51
1950-03-18 02:00:00,0.25
1950-03-18 04:00:00,0.25
1950-03-18 05:00:00,0.25
1950-03-21 04:00:00,0.25
1950-03-21 05:00:00,1.27
1950-03-21 06:00:00,2.54
1950-03-21 07:00:00,3.05
1950-03-21 08:00:00,3.05
1950-03-21 09:00:00,2.54
1950-03-21 10:00:00,0.51
1950-03-21 12:00:00,0.25
1950-03-21 13:00:00,3.05
1950-03-21 14:00:00,1.27
1950-03-21 15:00:00,3.3
1950-03-21 16:00:00,2.54
1950-03-22 23:00:00,0.25
1950-03-23 00:00:00,2.54
1950-03-23 01:00:00,2.79
1950-03-23 02:00:00,1.02
1950-03-23 03:00:00,2.03
1950-03-23 04:00:00,3.81
1950-03-23 05:00:00,0.76
1950-03-23 06:00:00,0.25
1950-03-23 07:00:00,1.27
1950-03-23 08:00:00,0.76
1950-03-26 20:00:00,1.78
1950-03-26 21:00:00,2.54
1950-03-26 22:00:00,1.27
1950-03-27 00:00:00,0.76
1950-03-27 03:00:00,0.25
1950-03-27 05:00:00,0.51
1950-03-27 08:00:00,0.51
1950-03-28 08:00:00,0.25
1950-03-28 09:00:00,1.02
1950-03-28 10:00:00,2.54
1950-03-28 11:00:00,2.29
1950-03-28 12:00:00,0.25
1950-03-29 17:00:00,0.25
1950-03-29 18:00:00,0.25
1950-04-01 01:00:00,0.0
1950-04-05 10:00:00,0.51
1950-04-05 11:00:00,1.78
1950-04-05 14:00:00,0.51
1950-04-05 15:00:00,0.51
1950-04-05 16:00:00,0.76
1950-04-14 04:00:00,0.51
1950-04-14 05:00:00,0.25
1950-04-14 07:00:00,0.76
1950-04-14 08:00:00,1.52
1950-04-14 09:00:00,0.25
1950-04-14 10:00:00,0.25
1950-04-14 11:00:00,0.51
1950-04-14 12:00:00,0.51
1950-04-15 03:00:00,0.25
1950-04-15 04:00:00,0.25
1950-04-15 05:00:00,0.76
1950-04-15 06:00:00,0.51
1950-04-15 07:00:00,1.27
1950-04-15 08:00:00,0.76
1950-04-20 08:00:00,0.51
1950-04-20 09:00:00,2.03
1950-04-20 11:00:00,2.29
1950-04-20 12:00:00,0.51
1950-04-20 13:00:00,1.02
1950-04-24 09:00:00,0.25
1950-04-24 10:00:00,0.25
1950-04-24 11:00:00,0.51
1950-04-24 12:00:00,0.76
1950-04-24 13:00:00,1.02
1950-04-24 16:00:00,1.02
1950-04-24 17:00:00,1.02
1950-04-26 05:00:00,0.51
1950-04-26 07:00:00,0.25
1950-04-26 08:00:00,2.29
1950-04-28 01:00:00,1.27
1950-04-28 02:00:00,4.32
1950-04-28 03:00:00,7.11
1950-04-28 04:00:00,3.05
1950-04-28 05:00:00,0.76
1950-04-28 06:00:00,0.25
1950-04-30 08:00:00,0.51
1950-04-30 09:00:00,0.51
1950-04-30 10:00:00,0.25
1950-04-30 18:00:00,0.51
1950-04-30 20:00:00,0.25
1950-04-30 21:00:00,0.25
1950-04-30 22:00:00,0.25
1950-04-30 23:00:00,0.51
1950-05-01 00:00:00,0.25
1950-05-01 01:00:00,1.02
1950-05-01 02:00:00,0.76
1950-05-01 03:00:00,0.51
1950-05-01 05:00:00,0.51
1950-05-01 06:00:00,0.25
1950-05-01 08:00:00,1.27
1950-05-01 09:00:00,0.51
1950-05-03 05:00:00,2.29
1950-05-03 06:00:00,1.27
