Year of event,Event dates,Event name,Event distance/length,Event number of finishers,Athlete performance,Athlete club,Athlete country,Athlete year of birth,Athlete gender,Athlete age category,Athlete average speed,Athlete ID
2021,21.03.2021,+BAC 50km Ultra Pelso Race (HUN),50km,3,13675.0,*Várpalota,HUN,1999.0,M,MU23,13.163,699459
2020,03.10.2020,1. Breckerfelder Flower Power Ultra 50 (GER),50km,13,22020.0,*Castrop-Rauxel,GER,1982.0,F,W35,8.174,21477
2022,26.02.2022,1. HaWei50 - 50 km Ultralauf rund um den Hardtsee in Ubstadt-Weiher (GER),50km,205,11060.0,LC Rehlingen,GER,1992.0,M,M30,16.275,949773
2020,11.10.2020,1. Holter-Wald-Ultra (GER),50km,21,13548.0,TRI-Sport-Team TV Verl,GER,1988.0,M,M30,13.286,858098
2021,22.08.2021,1. RUHM-Rosengarten Ultra Heide Marathon (GER),50km,53,14353.0,Padjelanta Trailrunning,GER,1985.0,M,M35,12.541,335448
2022,02.04.2022,1. Schlösser- u. Burgen-Ultra (GER),50km,28,20186.0,KSV Baunatal,GER,1987.0,M,M35,8.917,697416
2022,03.12.2022,1. Wickerstedter Advents-Ultra (GER),50km,5,15968.0,,GER,1983.0,M,M35,11.273,148457
1993,03.07.1993,100 Km Ultramarathon Hannover - 50km Split (GER),50km,19,13300.0,LG Karlstadt,GER,1951.0,M,M40,13534.0,1610659
1994,16.07.1994,100 Km Ultramarathon Hannover - 50km Split (GER),50km,2,11454.0,MTV Hildesheim,GER,1957.0,M,M35,15715.0,1636075
1993,28.11.1993,100 Km de la Prueba Juan Carlos Zabala - 50km Split (ARG),50km,6,12605.0,*Entre Rios,ARG,,M,,14280.0,1631376
2002,20.10.2002,100 Miles Crystal Palace Track Race - 50km Split (GBR),50km,4,12495.0,,RUS,1968.0,M,M23,14.406,114706
1984,03.11.1984,100 km Bahnlauf Genf - 50 km Split (SUI),50km,13,11322.0,,GBR,1947.0,M,M35,15898.0,1073256
1995,07.10.1995,100 km Bahnlauf Ottweiler - 50km Split (GER),50km,11,12420.0,Triathlon Hub Nürnberg,GER,1951.0,M,M40,14493.0,413316
2000,07.10.2000,100 km Bahnlauf Ottweiler - 50km Split (GER),50km,4,13219.0,LLG St. Augustin,GER,1965.0,F,W35,13.617,1047147
1992,10.10.1992,100 km Bahnlauf Ottweiler - 50km Split (GER),50km,10,12590.0,LG Braunschweig,GER,1957.0,M,M35,14297.0,1066273
1986,29.11.1986,100 km Bahnlauf Ronneburg - 50km Split (GER),50km,1,12185.0,SSC Hanau-Rodenbach,GER,1936.0,M,M50,14772.0,1047203
2022,27.08.2022,100 km Berlin Bernau WC - 50 km Split (GER),50km,248,10745.0,,FRA,1997.0,M,M20,16.752,763437
2012,12.05.2012,100 km Bieg na Stadionie - 50km Split (POL),50km,3,15211.0,Biegiem Przez Polske,POL,1980.0,M,M23,11.834,1240332
